feature,perm_imp,scoring
fetal_kidney_tau,0.0553938131544008,roc_auc
avg_phasCons_exons,0.05104982390307113,roc_auc
prom_CpG_o2e_ratio,0.05011845797921825,roc_auc
avg_exon_CpG_o2e_ratio,0.049887902180739865,roc_auc
gtex_tau,0.04981555536121733,roc_auc
gnomad_oe_lof_upper_rank,0.0490674415461549,roc_auc
gnomad_oe_lof,0.04890128236725151,roc_auc
gnomad_pRec,0.046806802191075136,roc_auc
gnomad_oe_mis_pphen,0.04368952879164911,roc_auc
gnomad_pNull,0.043486798692987105,roc_auc
gnomad_oe_syn,0.043113934315448035,roc_auc
gnomad_n_sites,0.043043575045912386,roc_auc
gnomad_syn_z,0.04264089741857009,roc_auc
gnomad_lof_z,0.04210147635213026,roc_auc
gnomad_oe_mis,0.041602601305422746,roc_auc
gnomad_obs_lof,0.040755507501013644,roc_auc
gnomad_num_coding_exons,0.04075351995102672,roc_auc
gnomad_mis_z,0.03970608110793985,roc_auc
gnomad_obs_mis_pphen,0.037718133611060356,roc_auc
gnomad_mu_lof,0.03757184993202578,roc_auc
gnomad_exp_lof,0.03755753957212025,roc_auc
avg_phasCons_promoter,0.0374502118728286,roc_auc
gnomad_possible_lof,0.03726735727403543,roc_auc
max_mgi_kid,0.037148501784819835,roc_auc
gnomad_exp_syn,0.03578265743383444,roc_auc
gnomad_exp_mis,0.035353744146665325,roc_auc
gnomad_cds_length,0.03534619145671514,roc_auc
gnomad_possible_syn,0.03524840399736047,roc_auc
gnomad_exp_mis_pphen,0.03521580817757568,roc_auc
gnomad_possible_mis,0.035111660558263,roc_auc
gnomad_mu_mis,0.03511046802827091,roc_auc
gnomad_mu_syn,0.03507310208851755,roc_auc
gnomad_possible_mis_pphen,0.034982072299118296,roc_auc
gnomad_obs_mis,0.03467479707114627,roc_auc
gnomad_obs_syn,0.034532090982088245,roc_auc
no_paralogues_75,0.03258588203493318,roc_auc
ureteric_bud_perc_expr,0.024253277469928336,roc_auc
no_paralogues_85,0.02407678303109324,roc_auc
metanephric_perc_expr,0.02291764387874353,roc_auc
gnomad_gene_length,0.02215641223376765,roc_auc
CL_0002306_me,0.02208406541424519,roc_auc
CL_1001106_me,0.02120556832004321,roc_auc
stromal_perc_expr,0.018770819586112597,roc_auc
CL_1001431_me,0.01872470842641698,roc_auc
CL_0000115_me,0.018302155299205758,roc_auc
vascular_endothelial_perc_expr,0.017630363403639614,roc_auc
CL_1001432_me,0.016546353640794043,roc_auc
mesangial_perc_expr,0.01588688455514651,roc_auc
CL_1000768_me,0.014033692947377597,roc_auc
CL_1001111_me,0.01379001931898587,roc_auc
stromal_nTPM,0.012692891726226873,roc_auc
ureteric_bud_nTPM,0.011535740123864113,roc_auc
CL_1000849_me,0.011426822384582947,roc_auc
CL_1001318_me,0.011380313714889923,roc_auc
vascular_endothelial_nTPM,0.011332612515204765,roc_auc
metanephric_nTPM,0.01091204693798049,roc_auc
mesangial_nTPM,0.010117424453224944,roc_auc
CL_1001107_me,0.009360167908222871,roc_auc
gtex_testis,0.007421511651018009,roc_auc
gnomad_pLI,0.00648179801722013,roc_auc
no_paralogues_95,0.005609263572978862,roc_auc
gtex_retina,0.005500345833697673,roc_auc
CL_1000692_me,0.005200623295675899,roc_auc
CL_1000452_me,0.004968477457208053,roc_auc
CL_0000653_me,0.004731561498771697,roc_auc
gtex_kidney,0.0036857126956743036,roc_auc
gtex_thyroid_gland,0.0035330688566817202,roc_auc
CL_1000692_pc,0.003402685577542286,roc_auc
gtex_skeletal_muscle,0.0033553818878544472,roc_auc
gtex_pituitary_gland,0.003051286739861525,roc_auc
gtex_heart_muscle,0.002631516182631999,roc_auc
gtex_spinal_cord,0.0020535366464466296,roc_auc
gtex_brain_median,0.00202769849661717,roc_auc
gtex_adipose_tissue,0.001809863018054858,roc_auc
gtex_small_intestine,0.0017864099282096867,roc_auc
CL_0002306_pc,0.0017848198882202126,roc_auc
CL_1001107_pc,0.00155346906974716,roc_auc
gtex_esophagus,0.0015343885898730259,roc_auc
gtex_stomach,0.00150735791005141,roc_auc
CL_1001432_pc,0.0014429612904764521,roc_auc
gtex_breast,0.0014306384805577333,roc_auc
CL_1001106_pc,0.0014266633805840368,roc_auc
CL_1000849_pc,0.001400825230754532,roc_auc
gtex_vagina,0.00135988170102479,roc_auc
gtex_lung,0.0013097954413553215,roc_auc
gtex_adrenal_gland,0.001296677611441921,roc_auc
gtex_skin,0.0012827647615337502,roc_auc
gtex_liver,0.001273622031594157,roc_auc
CL_1001431_pc,0.0012533490217278898,roc_auc
gtex_cervix,0.0011503939324073898,roc_auc
CL_0000653_pc,0.0011424437324598635,roc_auc
gtex_fallopian_tube,0.0011380711224887596,roc_auc
gtex_prostate,0.0011146180326434996,roc_auc
CL_1000768_pc,0.0010184206132784368,roc_auc
gtex_urinary_bladder,0.0009695268836010795,roc_auc
CL_1001111_pc,0.0007731569448971686,roc_auc
gtex_endometrium,0.0007389710851227304,roc_auc
gnomad_p,0.000667419285595039,roc_auc
gnomad_classic_caf,0.0006483388057209938,roc_auc
CL_0000115_pc,0.000639196075781312,roc_auc
CL_1000452_pc,0.0005712218662299318,roc_auc
gnomad_max_af,0.0005545264463401534,roc_auc
CL_1001318_pc,0.0005402160864345973,roc_auc
gtex_colon,0.0004901298267651289,roc_auc
gtex_ovary,0.00041500043726103717,roc_auc
gtex_spleen,0.0003541814076624128,roc_auc
gnomad_exp_hom_lof,0.00010812271928635208,roc_auc
gtex_salivary_gland,9.659492936244795e-05,roc_auc
gtex_pancreas,8.7452199422966e-06,roc_auc
