mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.5190939426422119,0.06333150467575029,0.012095785140991211,0.0005452344354684881,100,,"{'C': 100, 'penalty': None}",0.9913300508456413,0.9919427364276466,0.9912842191402012,0.9904006604640501,0.9918019573994872,0.9913519248554052,0.0005406577629262321,5,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.42599849700927733,0.02615588976524286,0.011964559555053711,0.0002997971952287327,100,l2,"{'C': 100, 'penalty': 'l2'}",0.9911265679268499,0.9914760346497553,0.9907737455091121,0.9898440572878644,0.9915981063157945,0.9909637023378753,0.0006294706728475493,14,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.005454921722412109,0.0014548928760854324,0.0,0.0,100,l1,"{'C': 100, 'penalty': 'l1'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004727649688720703,7.197231017222655e-05,0.0,0.0,100,elasticnet,"{'C': 100, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5229218959808349,0.05685440962918245,0.012009716033935547,0.0005202465509072824,1000,,"{'C': 1000, 'penalty': None}",0.9913300508456413,0.9919427364276466,0.9912842191402012,0.9904006604640501,0.9918019573994872,0.9913519248554052,0.0005406577629262321,5,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.4691762447357178,0.03425520940692021,0.01190199851989746,0.00039427344943305945,1000,l2,"{'C': 1000, 'penalty': 'l2'}",0.9912833766708682,0.991845592248326,0.9911887235269383,0.9904567056491123,0.9917770366105662,0.9913102869411622,0.0004997018859738616,13,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004950809478759766,0.0006912912292875047,0.0,0.0,1000,l1,"{'C': 1000, 'penalty': 'l1'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004636383056640625,9.277143562503601e-05,0.0,0.0,1000,elasticnet,"{'C': 1000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5201815605163574,0.057690657591497614,0.012044286727905274,0.0006441726153025595,10000,,"{'C': 10000, 'penalty': None}",0.9913300508456413,0.9919427364276466,0.9912842191402012,0.9904006604640501,0.9918019573994872,0.9913519248554052,0.0005406577629262321,5,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5013600826263428,0.013259676943033953,0.011828899383544922,0.0003555264083963899,10000,l2,"{'C': 10000, 'penalty': 'l2'}",0.9913214092755003,0.9919282751092128,0.9912735580089665,0.990455111631196,0.9917962605265334,0.9913549229102818,0.0005178639559555879,1,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004992055892944336,0.0008254691429145316,0.0,0.0,10000,l1,"{'C': 10000, 'penalty': 'l1'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004575538635253906,1.487884758166937e-05,0.0,0.0,10000,elasticnet,"{'C': 10000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5200658321380616,0.05701506869713436,0.01202688217163086,0.000609207209304635,100000,,"{'C': 100000, 'penalty': None}",0.9913300508456413,0.9919427364276466,0.9912842191402012,0.9904006604640501,0.9918019573994872,0.9913519248554052,0.0005406577629262321,5,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5102458953857422,0.053056391371120344,0.011682558059692382,4.138974000690221e-05,100000,l2,"{'C': 100000, 'penalty': 'l2'}",0.9913289842843896,0.991940675720074,0.9912818553873973,0.9904076789916051,0.9918019937625059,0.9913522376291943,0.0005378150916623575,2,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.005092763900756836,0.0005893284935309189,0.0,0.0,100000,l1,"{'C': 100000, 'penalty': 'l1'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004783058166503906,1.5330592726918658e-05,0.0,0.0,100000,elasticnet,"{'C': 100000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5199978828430176,0.05835218439556249,0.011884260177612304,0.00032679941318891083,1000000,,"{'C': 1000000, 'penalty': None}",0.9913300508456413,0.9919427364276466,0.9912842191402012,0.9904006604640501,0.9918019573994872,0.9913519248554052,0.0005406577629262321,5,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5355341911315918,0.06717613252838041,0.011987543106079102,0.0006061314293905113,1000000,l2,"{'C': 1000000, 'penalty': 'l2'}",0.9913300993256982,0.9919427000622189,0.9912841100439178,0.9904017696095964,0.9918018967944556,0.9913521151671774,0.0005402518122816029,3,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.005003023147583008,0.0006335286801188916,0.0,0.0,1000000,l1,"{'C': 1000000, 'penalty': 'l1'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.004571342468261718,2.0101160754621857e-05,0.0,0.0,1000000,elasticnet,"{'C': 1000000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-16--15-21-06,2024-05-16--15-21-44,3
0.5166185855865478,0.06019333520677284,0.011659383773803711,3.815799792226821e-05,10000000,,"{'C': 10000000, 'penalty': None}",0.9913300508456413,0.9919427364276466,0.9912842191402012,0.9904006604640501,0.9918019573994872,0.9913519248554052,0.0005406577629262321,5,2024-05-16--15-21-06,2024-05-16--15-21-44,3
