mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.1535130500793457,0.0018435705280824628,0.007651042938232422,0.000258982916557665,gini,3,4,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 30}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15207691192626954,0.0008221090161236082,0.007475852966308594,7.779741081331596e-05,gini,3,4,60,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 60}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15333180427551268,0.002678142144894521,0.007869338989257813,0.0009235428636087697,gini,3,4,90,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 90}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.1544172763824463,0.004954739681466125,0.007418918609619141,5.5536157503304336e-05,gini,3,4,120,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 120}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15124964714050293,0.0011980596466279084,0.007399892807006836,4.316090161198422e-05,gini,3,4,150,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 150}",0.9747609430214618,0.9744550446703216,0.9727374206651829,0.9683504348626337,0.9731197352636473,0.9726847156966494,0.0022988168593785635,822,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.1508944034576416,0.0009744450660937688,0.007411575317382813,5.366814395987315e-05,gini,3,5,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 30}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15035734176635743,0.00046229547172677184,0.007447671890258789,0.00014905310243906527,gini,3,5,60,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 60}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.1503080368041992,0.0004434512917118286,0.007381725311279297,4.880548861439988e-05,gini,3,5,90,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 90}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.1507709503173828,0.0007881924574331457,0.007398414611816406,2.4785168022266823e-05,gini,3,5,120,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 120}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15479960441589355,0.0028400249077177708,0.007473278045654297,5.670722627677675e-05,gini,3,5,150,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 150}",0.9747609430214618,0.9744550446703216,0.9727374206651829,0.9683504348626337,0.9731197352636473,0.9726847156966494,0.0022988168593785635,822,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15608549118041992,0.0054184498338769385,0.007962608337402343,0.0009749617649537627,gini,3,6,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 30}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15125842094421388,0.0009094546050025937,0.007423019409179688,7.337756981292955e-05,gini,3,6,60,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 60}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.15239934921264647,0.0014331466435954317,0.007440376281738281,5.9985356409470915e-05,gini,3,6,90,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 90}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
0.1521277904510498,0.0012584026979369093,0.007462835311889649,5.7962415374401316e-05,gini,3,6,120,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 120}",0.9747608945414049,0.974457638737501,0.972720813786512,0.9683483196069197,0.9731197352636473,0.972681480387197,0.002299939064881608,829,2024-05-16--10-01-38,2024-05-16--10-23-22,2
