mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
6.835098934173584,2.888007198626931,0.015005731582641601,0.0017666314937760626,100,,"{'C': 100, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.627448177337646,1.2175804768771568,0.013957786560058593,0.0013848710863615628,100,l2,"{'C': 100, 'penalty': 'l2'}",0.9931218979884099,0.9929495435993356,0.9929289728890404,0.9919542824509561,0.992713941912332,0.9927337277680148,0.00041068229392181966,14,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.020001888275146484,0.013394905460488604,0.0,0.0,100,l1,"{'C': 100, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.012761735916137695,0.00039090188884091214,0.0,0.0,100,elasticnet,"{'C': 100, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.308683109283447,2.521437798375535,0.013447999954223633,0.0012944913424207305,1000,,"{'C': 1000, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.39933671951294,2.311376234991928,0.013191747665405273,0.0015193832943841857,1000,l2,"{'C': 1000, 'penalty': 'l2'}",0.9933307137134593,0.9933515997685026,0.9932642621328643,0.992516237405925,0.9929160839341383,0.9930757793909779,0.00032099345955894607,13,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.020244693756103514,0.014623711651166727,0.0,0.0,1000,l1,"{'C': 1000, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.012717485427856445,0.00038588192494318257,0.0,0.0,1000,elasticnet,"{'C': 1000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.305045557022095,2.5196744302772935,0.0131622314453125,0.0013189108975210093,10000,,"{'C': 10000, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.6406622409820555,2.0809640287500066,0.013201761245727538,0.0012370094118144678,10000,l2,"{'C': 10000, 'penalty': 'l2'}",0.9933147152946847,0.9934339553405394,0.9933266894504961,0.9925325048739371,0.9929170657356473,0.9931049861390608,0.00033597865690495433,8,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.023120784759521486,0.009183325971671994,0.0,0.0,10000,l1,"{'C': 10000, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.012754869461059571,0.0004360369963059121,0.0,0.0,10000,elasticnet,"{'C': 10000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.300651121139526,2.508666211895368,0.012638378143310546,0.0003309867990795642,100000,,"{'C': 100000, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
6.103001403808594,2.4196843611194643,0.01309823989868164,0.0012289328341012627,100000,l2,"{'C': 100000, 'penalty': 'l2'}",0.9933142547341444,0.9934597747942395,0.9933417204939646,0.992412050455431,0.9929175869389176,0.9930890774833394,0.0003846360317887498,11,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.022908687591552734,0.008952860473356831,0.0,0.0,100000,l1,"{'C': 100000, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.012775087356567382,0.0003480751739400409,0.0,0.0,100000,elasticnet,"{'C': 100000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.626067113876343,2.694540433007509,0.013356781005859375,0.0011723853991402677,1000000,,"{'C': 1000000, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
