mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_param,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.07836470603942872,0.11677330653610099,0.004122209548950195,0.00018157608365432378,0.01,0,"{'reg_param': 0.01, 'tol': 0}",0.8395729890764647,0.8569016881827209,0.8171406003159558,0.7784983786480419,0.8220004988775256,0.8228228310201416,0.026228066472518304,22,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.01948709487915039,0.00013004787429890145,0.004271984100341797,0.0006440674286828376,0.01,1e-06,"{'reg_param': 0.01, 'tol': 1e-06}",0.8395729890764647,0.8569016881827209,0.8171406003159558,0.7784983786480419,0.8220004988775256,0.8228228310201416,0.026228066472518304,22,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.01946544647216797,0.00018150222506614134,0.0039008617401123046,2.5533104876833164e-05,0.01,1e-05,"{'reg_param': 0.01, 'tol': 1e-05}",0.8395729890764647,0.8569016881827209,0.8171406003159558,0.7784983786480419,0.8220004988775256,0.8228228310201416,0.026228066472518304,22,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019663286209106446,0.00036805068887688785,0.003944921493530274,3.682726699377525e-05,0.12,0,"{'reg_param': 0.12, 'tol': 0}",0.8601787487586892,0.8532274081429989,0.8191153238546605,0.7844350212022948,0.8317784983786481,0.8297470000674583,0.027010204904662632,1,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.020865249633789062,0.0018331670088290006,0.004238319396972656,0.0006268921084604083,0.12,1e-06,"{'reg_param': 0.12, 'tol': 1e-06}",0.8601787487586892,0.8532274081429989,0.8191153238546605,0.7844350212022948,0.8317784983786481,0.8297470000674583,0.027010204904662632,1,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.01957097053527832,0.00028238414067181805,0.003944110870361328,4.776290040820442e-05,0.12,1e-05,"{'reg_param': 0.12, 'tol': 1e-05}",0.8601787487586892,0.8532274081429989,0.8191153238546605,0.7844350212022948,0.8317784983786481,0.8297470000674583,0.027010204904662632,1,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019548606872558594,0.00028102386490303394,0.0039558887481689455,4.949454855643049e-05,0.23,0,"{'reg_param': 0.23, 'tol': 0}",0.8588877855014896,0.8524329692154915,0.8200039494470774,0.784784235470192,0.8296333250187079,0.8291484529305917,0.026376646625982235,4,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.01951889991760254,8.561523203874537e-05,0.003915977478027344,4.363734813263745e-05,0.23,1e-06,"{'reg_param': 0.23, 'tol': 1e-06}",0.8588877855014896,0.8524329692154915,0.8200039494470774,0.784784235470192,0.8296333250187079,0.8291484529305917,0.026376646625982235,4,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.02006502151489258,0.0003462468699294142,0.004040861129760742,3.145412499194848e-05,0.23,1e-05,"{'reg_param': 0.23, 'tol': 1e-05}",0.8588877855014896,0.8524329692154915,0.8200039494470774,0.784784235470192,0.8296333250187079,0.8291484529305917,0.026376646625982235,4,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019916057586669922,0.00030058514922753926,0.003992938995361328,3.1205922828988746e-05,0.34,0,"{'reg_param': 0.34, 'tol': 0}",0.8558589870903673,0.8510923535253228,0.8215837282780412,0.782439511100025,0.8288351209778,0.8279619401943112,0.026180133036170818,7,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019437694549560548,0.00010919337707427836,0.003920173645019532,1.9920496499938326e-05,0.34,1e-06,"{'reg_param': 0.34, 'tol': 1e-06}",0.8558589870903673,0.8510923535253228,0.8215837282780412,0.782439511100025,0.8288351209778,0.8279619401943112,0.026180133036170818,7,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019417858123779295,0.0001136706777122762,0.003906869888305664,1.0652375625497788e-05,0.34,1e-05,"{'reg_param': 0.34, 'tol': 1e-05}",0.8558589870903673,0.8510923535253228,0.8215837282780412,0.782439511100025,0.8288351209778,0.8279619401943112,0.026180133036170818,7,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019408464431762695,0.00010459779301149144,0.003934669494628906,1.7888322123616798e-05,0.45,0,"{'reg_param': 0.45, 'tol': 0}",0.8538232373386296,0.8495034756703078,0.8212875197472354,0.7803941132451983,0.8278373659266649,0.8265691423856072,0.026193153989865214,13,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019398880004882813,9.698959226374265e-05,0.0039044857025146485,8.137865611423906e-06,0.45,1e-06,"{'reg_param': 0.45, 'tol': 1e-06}",0.8538232373386296,0.8495034756703078,0.8212875197472354,0.7803941132451983,0.8278373659266649,0.8265691423856072,0.026193153989865214,13,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019712543487548827,0.00015454119422696628,0.003973579406738282,2.8642636065614704e-05,0.45,1e-05,"{'reg_param': 0.45, 'tol': 1e-05}",0.8538232373386296,0.8495034756703078,0.8212875197472354,0.7803941132451983,0.8278373659266649,0.8265691423856072,0.026193153989865214,13,2023-10-31--13-50-32,2023-10-31--13-50-36,11
0.019913721084594726,9.96973338032554e-05,0.004007768630981445,2.4305321251036347e-05,0.56,0,"{'reg_param': 0.56, 'tol': 0}",0.8517378351539225,0.8568520357497517,0.8242496050552922,0.7780493888750312,0.8267398353704165,0.8275257400408828,0.02794822785454721,10,2023-10-31--13-50-32,2023-10-31--13-50-36,11
