mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
1.5712584495544433,0.0024293366621617146,0.031047582626342773,0.0010678223544722757,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8837636544190666,0.9003972194637537,0.9083234597156399,0.8970316787228735,0.896333250187079,0.8971698525016827,0.00794057924647058,1196,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.7649755001068115,0.0035884278418112535,0.03401870727539062,0.001071670369713022,10,1,2,225,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 225}",0.8844587884806354,0.9000993048659384,0.9082740916271722,0.8977799950112247,0.8977301072586681,0.8976684574487278,0.007653758437084932,872,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.9550636768341065,0.00652966611750284,0.03686342239379883,0.0008176343951421596,10,1,2,250,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",0.8843594836146971,0.8987090367428004,0.9085209320695102,0.8973310052382141,0.8967323522075331,0.8971305619745511,0.007688059631508686,1239,2023-12-11--12-26-50,2023-12-11--20-36-23,78
2.161736345291138,0.0026821670851079203,0.040144491195678714,0.00035585524894186905,10,1,2,275,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 275}",0.8844091360476664,0.8983614697120158,0.9083234597156399,0.8981790970316788,0.8966824644549763,0.8971911253923954,0.007614626042413455,1176,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.5655552864074707,0.0062501359788926306,0.029685211181640626,3.940227516579405e-05,10,1,4,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.8850546176762663,0.8997517378351539,0.9072373617693522,0.9057121476677475,0.8917435769518584,0.8978998883800757,0.0084208111335296,775,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.7566299438476562,0.005260401263556149,0.03332018852233887,0.000522613873446829,10,1,4,225,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 225}",0.8855014895729891,0.9002979145978153,0.9072373617693523,0.9056622599151909,0.8940883013220254,0.8985574654354747,0.007990992452096403,577,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.9583399295806885,0.008940087471867097,0.03680548667907715,0.00043821035452599354,10,1,4,250,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 250}",0.8862462760675273,0.899304865938431,0.9079778830963665,0.9071090047393364,0.8949862808680469,0.8991248621419416,0.00806400333132995,429,2023-12-11--12-26-50,2023-12-11--20-36-23,78
2.152861499786377,0.0076007984641671906,0.039948892593383786,8.314752150910085e-05,10,1,4,275,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 275}",0.8846573982125124,0.8985104270109234,0.9076323064770933,0.9078074332751309,0.8952357196308306,0.898768656921298,0.008624844489656867,488,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.5517487049102783,0.006836376538637475,0.0295257568359375,9.912399734186985e-05,10,1,6,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.8869910625620655,0.8988579940417081,0.9094589257503951,0.9049139436268395,0.8946370666001496,0.8989717985162315,0.007843848703120491,448,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.75173020362854,0.007409003833264743,0.03327622413635254,0.0004755730705939736,10,1,6,225,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 225}",0.8870407149950347,0.900446871896723,0.9096070300157978,0.9059116986779746,0.8962334746819656,0.8998479580534993,0.007867109996936891,263,2023-12-11--12-26-50,2023-12-11--20-36-23,78
1.9565476894378662,0.011206193319790432,0.03650121688842774,0.00013230434501953014,10,1,6,250,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 250}",0.8873386295928501,0.9005958291956307,0.9090146129541864,0.9060613619356448,0.8953354951359441,0.8996691857628513,0.007744405510759159,318,2023-12-11--12-26-50,2023-12-11--20-36-23,78
