mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.14849181175231935,0.17158919089216573,0.02276473045349121,0.011956222474957746,100.0,1e-07,rbf,"{'C': 100.0, 'gamma': 1e-07, 'kernel': 'rbf'}",0.8655412115193644,0.86233862959285,0.8302231437598736,0.7990521327014218,0.8607632826141182,0.8435836800375256,0.025653782193128853,173,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06508812904357911,0.0011317637545423575,0.01711583137512207,0.00023407707341456302,100.0,1.6378937069540646e-07,rbf,"{'C': 100.0, 'gamma': 1.6378937069540646e-07, 'kernel': 'rbf'}",0.8757696127110228,0.8667576961271102,0.8396030805687204,0.8036418059366426,0.8595659765527564,0.8490676343792505,0.02564851960014537,163,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06296839714050292,0.0022173047608903297,0.016805601119995118,0.0004733090628399,100.0,2.6826957952797275e-07,rbf,"{'C': 100.0, 'gamma': 2.6826957952797275e-07, 'kernel': 'rbf'}",0.8798411122144985,0.8730635551142005,0.8483412322274883,0.809079570965328,0.8537291095036168,0.8528109160050263,0.024795372912550444,153,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06511478424072266,0.003491501709047521,0.016886186599731446,0.0002942061462800664,100.0,4.393970560760786e-07,rbf,"{'C': 100.0, 'gamma': 4.393970560760786e-07, 'kernel': 'rbf'}",0.8826216484607746,0.8792701092353525,0.8494273301737758,0.814617111499127,0.852531803442255,0.855693600562257,0.024566288218615603,128,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06572608947753907,0.0033665173901465625,0.017076969146728516,0.0003901154262652657,100.0,7.196856730011514e-07,rbf,"{'C': 100.0, 'gamma': 7.196856730011514e-07, 'kernel': 'rbf'}",0.8896722939424032,0.8840119165839126,0.8505627962085308,0.827438263906211,0.8290845597405837,0.8561539660763282,0.026412683318450658,124,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06436586380004883,0.002119499824043454,0.017017173767089843,0.00023759821899202292,100.0,1.1787686347935866e-06,rbf,"{'C': 100.0, 'gamma': 1.1787686347935866e-06, 'kernel': 'rbf'}",0.8953326713008938,0.8828202581926514,0.8568325434439178,0.836318283861312,0.7868296333250187,0.8516266780247588,0.03832325210727886,158,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06482086181640626,0.0024148614226798476,0.01737074851989746,0.0003656003314484648,100.0,1.9306977288832498e-06,rbf,"{'C': 100.0, 'gamma': 1.9306977288832498e-06, 'kernel': 'rbf'}",0.8950347567030785,0.8768867924528302,0.861028830963665,0.8439511100024945,0.8134696931903218,0.858074236662478,0.027991962880565425,106,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06545791625976563,0.002344065538011484,0.017273378372192384,0.0004172036678697134,100.0,3.162277660168379e-06,rbf,"{'C': 100.0, 'gamma': 3.162277660168379e-06, 'kernel': 'rbf'}",0.8950844091360476,0.8814299900695135,0.8652251184834122,0.8519830381641306,0.8273384884010976,0.8642122088508403,0.023493806000553678,79,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06482963562011719,0.0020053587428244626,0.017423725128173827,0.0004885658863186366,100.0,5.179474679231212e-06,rbf,"{'C': 100.0, 'gamma': 5.179474679231212e-06, 'kernel': 'rbf'}",0.8947864945382324,0.880188679245283,0.8669530015797788,0.8518333749064605,0.8391119980044899,0.866574709654849,0.019763074459460243,67,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06467556953430176,0.0016017868437002078,0.01734633445739746,0.0003115697340230225,100.0,8.483428982440726e-06,rbf,"{'C': 100.0, 'gamma': 8.483428982440726e-06, 'kernel': 'rbf'}",0.9003475670307844,0.8731628599801389,0.8732227488151658,0.8585682215016213,0.8485906709902719,0.8707784136635965,0.01747787119183561,50,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.07651619911193848,0.003482213839364988,0.017427539825439452,0.000496261468002694,100.0,1.3894954943731361e-05,rbf,"{'C': 100.0, 'gamma': 1.3894954943731361e-05, 'kernel': 'rbf'}",0.9035004965243296,0.870382323733863,0.8666321090047395,0.8630581192317286,0.8479920179595909,0.8703130132908503,0.018252798273473984,55,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06727366447448731,0.0019172630210877028,0.01728081703186035,0.0002207093211422224,100.0,2.275845926074791e-05,rbf,"{'C': 100.0, 'gamma': 2.275845926074791e-05, 'kernel': 'rbf'}",0.9004965243296921,0.8686444885799405,0.8664593206951028,0.8667997006734847,0.8561736093788975,0.8717147287314235,0.015040753555698587,46,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06774029731750489,0.0019126064109436774,0.017147541046142578,0.0002511047746381705,100.0,3.727593720314938e-05,rbf,"{'C': 100.0, 'gamma': 3.727593720314938e-05, 'kernel': 'rbf'}",0.8896226415094339,0.8626365441906654,0.8628801342812006,0.8628086804689449,0.8600648540783238,0.8676025709057138,0.011060243206092722,64,2023-11-10--14-59-48,2023-11-10--15-01-44,23
0.06992301940917969,0.003019206476818614,0.017140865325927734,0.00041483769457991055,100.0,6.105402296585326e-05,rbf,"{'C': 100.0, 'gamma': 6.105402296585326e-05, 'kernel': 'rbf'}",0.8773833167825223,0.8511171797418073,0.8568819115323854,0.8566225991519083,0.8552257420803193,0.8594461498577886,0.009202970162560982,100,2023-11-10--14-59-48,2023-11-10--15-01-44,23
