mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.05491914749145508,0.10328686428161589,0.001676464080810547,0.00019982370745139904,1.0,1e-06,"{'alpha': 1.0, 'tol': 1e-06}",0.8598311817279046,0.8542701092353526,0.8669036334913112,0.8636567722624097,0.8247942130207033,0.8538911819475363,0.015144315325470139,15,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.002985239028930664,4.448867687398948e-05,0.0015289783477783203,3.212658283944097e-05,1.0,1e-05,"{'alpha': 1.0, 'tol': 1e-05}",0.8598311817279046,0.8542701092353526,0.8669036334913112,0.8636567722624097,0.8247942130207033,0.8538911819475363,0.015144315325470139,15,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0029648780822753907,4.696122225069875e-05,0.0015036106109619141,1.5238360797118409e-05,1.637893706954064,1e-06,"{'alpha': 1.637893706954064, 'tol': 1e-06}",0.8592353525322741,0.8545183714001987,0.8669036334913112,0.8636068845098529,0.8246944375155899,0.8537917358898452,0.01513322659011781,17,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0028995990753173826,3.57913856597809e-06,0.0015194416046142578,1.6384058142849707e-05,1.637893706954064,1e-05,"{'alpha': 1.637893706954064, 'tol': 1e-05}",0.8592353525322741,0.8545183714001987,0.8669036334913112,0.8636068845098529,0.8246944375155899,0.8537917358898452,0.01513322659011781,17,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0029836654663085937,7.200961045403007e-05,0.0015171051025390625,1.984146861019692e-05,2.6826957952797255,1e-06,"{'alpha': 2.6826957952797255, 'tol': 1e-06}",0.8585898709036742,0.8548659384309831,0.8669530015797788,0.8636068845098529,0.8246944375155899,0.8537420265879758,0.015102135513305135,19,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.003016757965087891,3.398494397124202e-05,0.001518106460571289,1.2353303850002219e-05,2.6826957952797255,1e-05,"{'alpha': 2.6826957952797255, 'tol': 1e-05}",0.8585898709036742,0.8548659384309831,0.8669530015797788,0.8636068845098529,0.8246944375155899,0.8537420265879758,0.015102135513305135,19,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.003026866912841797,2.3355579414967214e-05,0.0015331268310546874,2.123055532132039e-05,4.393970560760791,1e-06,"{'alpha': 4.393970560760791, 'tol': 1e-06}",0.8575968222442899,0.8552631578947368,0.8670517377567141,0.8636567722624097,0.8247942130207033,0.8536725406357707,0.015037125071143638,21,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0029398441314697266,2.1882409957233435e-05,0.0015015602111816406,1.1526249978266153e-05,4.393970560760791,1e-05,"{'alpha': 4.393970560760791, 'tol': 1e-05}",0.8575968222442899,0.8552631578947368,0.8670517377567141,0.8636567722624097,0.8247942130207033,0.8536725406357707,0.015037125071143638,21,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.002988910675048828,6.956016392535803e-05,0.0015140533447265624,1.8897195551301323e-05,7.196856730011519,1e-06,"{'alpha': 7.196856730011519, 'tol': 1e-06}",0.8562562065541212,0.8554617676266137,0.8671504739336492,0.86380643552008,0.824893988525817,0.8535137744320561,0.014982030585463447,25,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.003010463714599609,2.1408023616634868e-05,0.0015074729919433594,1.2432014404181753e-05,7.196856730011519,1e-05,"{'alpha': 7.196856730011519, 'tol': 1e-05}",0.8562562065541212,0.8554617676266137,0.8671504739336492,0.86380643552008,0.824893988525817,0.8535137744320561,0.014982030585463447,25,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.002997875213623047,3.2180326362642755e-05,0.00150604248046875,1.363487484318812e-05,11.787686347935873,1e-06,"{'alpha': 11.787686347935873, 'tol': 1e-06}",0.8551638530287984,0.8564051638530288,0.8671504739336492,0.86380643552008,0.8246944375155899,0.8534440727702292,0.015056634593595566,29,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0028867244720458983,2.43226216456043e-05,0.0014977455139160156,1.364121020960901e-05,11.787686347935873,1e-05,"{'alpha': 11.787686347935873, 'tol': 1e-05}",0.8551638530287984,0.8564051638530288,0.8671504739336492,0.86380643552008,0.8246944375155899,0.8534440727702292,0.015056634593595566,29,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0029596328735351563,8.997926019645028e-05,0.0015227794647216797,4.422468633498256e-05,19.306977288832496,1e-06,"{'alpha': 19.306977288832496, 'tol': 1e-06}",0.8549652432969215,0.8570506454816285,0.8671011058451817,0.8636567722624097,0.8245946620104765,0.8534736857793236,0.015089196309646285,27,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.002963399887084961,1.0130517368232346e-05,0.0014983654022216798,8.232314237358153e-06,19.306977288832496,1e-05,"{'alpha': 19.306977288832496, 'tol': 1e-05}",0.8549652432969215,0.8570506454816285,0.8671011058451817,0.8636567722624097,0.8245946620104765,0.8534736857793236,0.015089196309646285,27,2023-12-07--16-39-13,2023-12-07--16-39-14,61
0.0029432296752929686,1.2669339858192899e-05,0.001501607894897461,1.3195041426001682e-05,31.622776601683796,1e-06,"{'alpha': 31.622776601683796, 'tol': 1e-06}",0.8539721946375373,0.8578947368421053,0.867446682464455,0.8639560987777499,0.824893988525817,0.8536327402495327,0.015110211287029295,23,2023-12-07--16-39-13,2023-12-07--16-39-14,61
