mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.04905095100402832,0.009309298431248775,0.01531987190246582,0.0005364888785157652,1.0,1e-07,rbf,"{'C': 1.0, 'gamma': 1e-07, 'kernel': 'rbf'}",0.838728897715988,0.8421052631578947,0.8903041074249605,0.8550261910700924,0.8749314043402344,0.860219172741834,0.019689925105178183,117,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.04268693923950195,4.107143241653247e-05,0.014652729034423828,0.0008853808808779294,1.0,2.6826957952797275e-07,rbf,"{'C': 1.0, 'gamma': 2.6826957952797275e-07, 'kernel': 'rbf'}",0.8390764647467726,0.8413604766633566,0.8927231437598737,0.8522823646794712,0.8738837615365427,0.8598652422772034,0.020534167752137792,129,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.04310641288757324,0.00034033597365325127,0.014983415603637695,0.0005104402467162053,1.0,7.196856730011514e-07,rbf,"{'C': 1.0, 'gamma': 7.196856730011514e-07, 'kernel': 'rbf'}",0.8345580933465739,0.8334657398212512,0.8926737756714059,0.8527812422050387,0.874432526814667,0.8575822755717875,0.023022226353352777,141,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.044176769256591794,0.0007520807776861552,0.016030263900756837,0.0014553763856136608,1.0,1.9306977288832498e-06,rbf,"{'C': 1.0, 'gamma': 1.9306977288832498e-06, 'kernel': 'rbf'}",0.8383813306852035,0.8353028798411123,0.8886255924170617,0.8560738338737839,0.8714392616612622,0.8579645796956846,0.020111170811477782,140,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.04446907043457031,0.00021962880362278345,0.015239143371582031,0.0006339000188132656,1.0,5.179474679231212e-06,rbf,"{'C': 1.0, 'gamma': 5.179474679231212e-06, 'kernel': 'rbf'}",0.838480635551142,0.8440913604766632,0.8884774881516586,0.8574706909453729,0.8731354452481915,0.8603311240746058,0.018469024335856187,113,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.045122957229614256,0.00020242743248091762,0.014818239212036132,0.000583817155370622,1.0,1.3894954943731361e-05,rbf,"{'C': 1.0, 'gamma': 1.3894954943731361e-05, 'kernel': 'rbf'}",0.8411122144985104,0.8444389275074478,0.8930193522906793,0.8577700174607134,0.874432526814667,0.8621546077144036,0.019386758493010144,93,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.0456944465637207,0.00041364260549381344,0.015034341812133789,0.001225359236180464,1.0,3.727593720314938e-05,rbf,"{'C': 1.0, 'gamma': 3.727593720314938e-05, 'kernel': 'rbf'}",0.8455809334657398,0.8469215491559087,0.8961789099526066,0.8579695684709404,0.8764779246694936,0.8646257771429378,0.01926927328306197,72,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.04748401641845703,0.00015780843444058613,0.015631675720214844,0.0004161684363959632,1.0,0.0001,rbf,"{'C': 1.0, 'gamma': 0.0001, 'kernel': 'rbf'}",0.8500993048659384,0.8468222442899702,0.8967219589257504,0.8542778747817412,0.8784734347717635,0.8652789635270327,0.019260594522063298,59,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.05072574615478516,0.00010514225819160162,0.015854549407958985,0.0003571660684188191,1.0,0.00026826957952797245,rbf,"{'C': 1.0, 'gamma': 0.00026826957952797245, 'kernel': 'rbf'}",0.848609731876862,0.8493545183714002,0.8972156398104266,0.850386630082315,0.8825642304814169,0.8656261501244842,0.02035368215236659,58,2023-12-07--18-20-33,2023-12-07--18-21-56,74
0.0471287727355957,0.0004762382226744141,0.014597892761230469,0.00033035197791999124,1.0,0.0007196856730011514,rbf,"{'C': 1.0, 'gamma': 0.0007196856730011514, 'kernel': 'rbf'}",0.8549155908639524,0.8532770605759682,0.894994075829384,0.8579695684709403,0.8830132202544275,0.8688339031989344,0.01696570778922511,29,2023-12-07--18-20-33,2023-12-07--18-21-56,74
