mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.38581862449646,0.20508578973150582,0.0022016048431396486,0.00024620360804630185,logistic,0.01,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",0.8376861966236345,0.816137040714995,0.7826323064770931,0.7670740833125468,0.757745073584435,0.7922549401425408,0.030172687359312472,132,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.3079224586486816,0.038926186084955725,0.002069854736328125,3.6680711954490575e-05,logistic,0.01,"(20,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (20,), 'solver': 'lbfgs'}",0.7681727904667328,0.7954319761668321,0.8145734597156398,0.7811923172861062,0.7848840109753057,0.7888509109221232,0.015536633827359725,139,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.26416563987731934,0.024706048542221103,0.0022939205169677734,0.0002740792872271544,logistic,0.01,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",0.8028798411122146,0.8193147964250248,0.8142772511848343,0.7954602145173361,0.7967074083312546,0.805727902314133,0.009514212891154564,109,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.2970386505126953,0.0642200968425854,0.0023662090301513673,0.0002461042727887972,logistic,0.01,"(40,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (40,), 'solver': 'lbfgs'}",0.8197616683217478,0.7869910625620655,0.8331852290679305,0.7867797455724621,0.8137690197056623,0.8080973450459735,0.018425750802775247,101,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.2881159782409668,0.04025152752358701,0.0023484230041503906,1.896349664700621e-05,logistic,0.01,"(50,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.798162859980139,0.7972691161866932,0.8430588467614535,0.8113744075829384,0.8078822649039662,0.8115494990830381,0.016670031174621774,95,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.9586627960205079,0.24781088954555283,0.0026413917541503905,0.00023439655020168377,logistic,0.01,"(50, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'solver': 'lbfgs'}",0.764995034756703,0.7852035749751739,0.841429699842022,0.7745572461960588,0.7122474432526813,0.7756865998045278,0.04135901257451193,153,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.7913728713989258,0.21431011888267051,0.0026821613311767576,0.0002447276490021398,logistic,0.01,"(50, 20)",lbfgs,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (50, 20), 'solver': 'lbfgs'}",0.8165839126117179,0.8119662363455811,0.8085999210110584,0.7755550012471938,0.7393863806435521,0.7904182903718207,0.029341774417056557,135,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.28565454483032227,0.003483505115425692,0.001973533630371094,5.026135084433632e-05,logistic,0.03593813663804627,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.03593813663804627, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",0.8378848063555113,0.7858987090367427,0.7923084518167456,0.7828885008730359,0.7928660513843852,0.7983693038932842,0.020117980262145566,121,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.36931624412536623,0.0479676505628133,0.0022058486938476562,0.0002662049510070647,logistic,0.03593813663804627,"(20,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.03593813663804627, 'hidden_layer_sizes': (20,), 'solver': 'lbfgs'}",0.833862959285005,0.7967725918570009,0.8539198262243286,0.8261910700922923,0.7903716637565479,0.8202236222430349,0.023656569333581116,80,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.3370955467224121,0.04544449270952342,0.0021422386169433595,8.012283290338787e-06,logistic,0.03593813663804627,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.03593813663804627, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",0.8229890764647467,0.8192651439920556,0.8293838862559242,0.7948116737340983,0.7777999501122475,0.8088499461118145,0.019448441556010325,98,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.35637516975402833,0.04916240346668398,0.0022467613220214845,1.1166137589428618e-05,logistic,0.03593813663804627,"(40,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.03593813663804627, 'hidden_layer_sizes': (40,), 'solver': 'lbfgs'}",0.8336643495531281,0.8071499503475671,0.82222551342812,0.8263906211025194,0.790920429034672,0.8160701726932013,0.015271115919251062,89,2023-12-07--16-55-16,2023-12-07--17-01-00,66
0.38762197494506834,0.040399350512558836,0.0023482799530029296,1.2251653177453404e-05,logistic,0.03593813663804627,"(50,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.03593813663804627, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.8049155908639524,0.8188182720953326,0.8469589257503949,0.7998503367423297,0.7803941132451984,0.8101874477394416,0.022131081506064635,97,2023-12-07--16-55-16,2023-12-07--17-01-00,66
