mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.0007009506225585938,6.940446330292818e-05,0.12705349922180176,0.24009992543160852,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.7926514399205561,0.8155908639523337,0.8571287519747235,0.7710152157645298,0.8517086555250685,0.8176189854274423,0.03323410962290304,90,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007399082183837891,4.311108982029456e-05,0.007155323028564453,0.0002538958214804095,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.795382323733863,0.8140268123138034,0.8593503159557663,0.7708156647543029,0.8567473185333,0.819264487058207,0.0345164183489791,89,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006762981414794922,2.0696929955624615e-05,0.00685725212097168,6.437859687634784e-05,12,uniform,"{'n_neighbors': 12, 'weights': 'uniform'}",0.7935203574975174,0.813033763654419,0.8624851895734598,0.7860314292841107,0.8639062110251933,0.8237953902069399,0.033359512819971106,88,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006679534912109375,1.0347036716818987e-05,0.00693964958190918,0.00010838499165710017,12,distance,"{'n_neighbors': 12, 'weights': 'distance'}",0.7973684210526315,0.8143495531281032,0.8643118088467615,0.7849837864804191,0.8660014966325768,0.8254030132280985,0.03377561978926767,86,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006862163543701171,1.5858259046542036e-05,0.0071125984191894535,0.00012796221660890718,14,uniform,"{'n_neighbors': 14, 'weights': 'uniform'}",0.7943147964250248,0.8169066534260179,0.8615965639810426,0.7867049139436267,0.8628585682215016,0.8244762991994428,0.03238767038126518,87,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007183551788330078,2.4434356897181452e-05,0.007339572906494141,0.00012544257993780556,14,distance,"{'n_neighbors': 14, 'weights': 'distance'}",0.7984607745779543,0.8173038728897716,0.8641390205371248,0.7870291843352456,0.8658019456223497,0.8265469595924892,0.032833032074471566,84,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006861686706542969,1.574357150079572e-05,0.007196617126464844,7.9403252318025e-05,16,uniform,"{'n_neighbors': 16, 'weights': 'uniform'}",0.7989821251241312,0.806777557100298,0.8660150078988942,0.7930905462708905,0.8630331753554502,0.825579682349933,0.03210692641163306,85,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.00068359375,1.668480403817098e-05,0.0073563575744628905,6.570089324938133e-05,16,distance,"{'n_neighbors': 16, 'weights': 'distance'}",0.8027308838133068,0.8107497517378353,0.8677675750394944,0.7928660513843852,0.8654028436018958,0.8279034211153835,0.03209635412289848,81,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006919384002685546,1.2443896814256325e-05,0.007477235794067383,0.00012167679045374748,18,uniform,"{'n_neighbors': 18, 'weights': 'uniform'}",0.7982621648460774,0.8050645481628599,0.866804897314376,0.7964330256921924,0.8681466699925169,0.8269422612016044,0.03322297026999423,83,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006906509399414063,1.044197166832239e-05,0.0074732303619384766,5.520901256848109e-05,18,distance,"{'n_neighbors': 18, 'weights': 'distance'}",0.8012909632571996,0.8090367428003973,0.8683106240126383,0.7975555001247193,0.8696931903217759,0.8291774041033462,0.032729749358605696,80,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006780624389648438,1.2428904822876867e-05,0.007534217834472656,7.325783204841393e-05,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",0.8022840119165839,0.8028798411122144,0.8587578988941549,0.7988525816911948,0.8740084809179346,0.8273565629064166,0.032257293823302884,82,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007099151611328125,5.387977153820844e-05,0.007798290252685547,0.0001711804620581215,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",0.8046673286991062,0.8073237338629593,0.8634231832543443,0.8004489897730107,0.8751309553504615,0.8301988381879764,0.03219606843441135,77,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007761955261230469,0.00012287156325018102,0.008123636245727539,0.0006294181852255468,22,uniform,"{'n_neighbors': 22, 'weights': 'uniform'}",0.8103277060575969,0.8036742800397219,0.862583925750395,0.7957096532801198,0.8754302818658019,0.8295451693987271,0.032803837982428474,78,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006960868835449219,1.120476008813821e-05,0.007833528518676757,3.783918427477783e-05,22,distance,"{'n_neighbors': 22, 'weights': 'distance'}",0.8111221449851043,0.8074726911618669,0.8665086887835702,0.798204040907957,0.8773260164629584,0.8321267164602913,0.03293890600633344,72,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006780147552490235,1.0148232976989517e-05,0.007942295074462891,0.00011320847244112847,24,uniform,"{'n_neighbors': 24, 'weights': 'uniform'}",0.8138282025819266,0.802780536246276,0.8637193917851501,0.7983786480419057,0.8726365677226241,0.8302686692755765,0.031486027097928186,76,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006872177124023438,8.505363518334692e-06,0.00796957015991211,5.5450523627809873e-05,24,distance,"{'n_neighbors': 24, 'weights': 'distance'}",0.8141509433962264,0.8069265143992056,0.8661877962085307,0.7993514592167623,0.8746320778248939,0.8322497582091237,0.031620193834135196,71,2023-12-06--15-06-00,2023-12-06--15-06-06,53
