mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.24178032875061034,0.0017246820357586594,0.006798648834228515,0.00032100795070185795,0.01,40,"{'learning_rate': 0.01, 'n_estimators': 40}",0.7907149950347567,0.8002234359483614,0.839529028436019,0.7755300573709154,0.819955101022699,0.8051905235625503,0.02241018431317811,110,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.304735803604126,0.002780572603860862,0.007948541641235351,2.097682481068737e-05,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.7907149950347567,0.801961271102284,0.8396524486571879,0.7755300573709154,0.8222000498877525,0.8060117644105793,0.02268606769230852,109,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.3653744697570801,0.006633902610080409,0.009400320053100587,0.00028911629804007533,0.01,60,"{'learning_rate': 0.01, 'n_estimators': 60}",0.7907149950347567,0.803723932472691,0.8535495655608215,0.7755300573709154,0.8222000498877525,0.8091437200653875,0.026985985941362322,108,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.4240733623504639,0.001611520214353397,0.010595703125,2.510836304808483e-05,0.01,70,"{'learning_rate': 0.01, 'n_estimators': 70}",0.8333664349553128,0.8246276067527308,0.8532533570300158,0.7989523571963083,0.8222000498877525,0.8264799611644241,0.01757131802157371,106,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.491209888458252,0.0035104356830629314,0.012072181701660157,0.0002970135790663609,0.01,80,"{'learning_rate': 0.01, 'n_estimators': 80}",0.8349056603773585,0.8454071499503475,0.85451224328594,0.8165128460962832,0.8391119980044899,0.8380899795428839,0.012649022312215027,105,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.5514707565307617,0.0026741938764250194,0.013501453399658202,0.0002608593622504921,0.01,90,"{'learning_rate': 0.01, 'n_estimators': 90}",0.8401439920556106,0.8467477656405163,0.8661137440758295,0.8179346470441504,0.8465452731354453,0.8434970843903103,0.01546643533480401,103,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.6303186893463135,0.010143144896216117,0.014729118347167969,9.220859429546003e-05,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.8413853028798411,0.8466981132075472,0.8807760663507109,0.8347468196557746,0.8467947118982289,0.8500802027984203,0.015969865014270203,101,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.676140022277832,0.0037562046081829337,0.01604914665222168,0.0004221972046580318,0.01,110,"{'learning_rate': 0.01, 'n_estimators': 110}",0.8547169811320754,0.851340615690169,0.8809488546603477,0.8363432277375904,0.8473933649289098,0.8541486088298186,0.014758902161904359,99,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.7372222423553467,0.002848691772708148,0.017534303665161132,0.00043751017322544127,0.01,120,"{'learning_rate': 0.01, 'n_estimators': 120}",0.8563058589870903,0.8532274081429991,0.8839356240126383,0.8377899725617362,0.8473933649289098,0.8557304457266748,0.015449892383566203,97,2023-12-07--16-27-04,2023-12-07--16-32-24,56
0.799716854095459,0.0030672321441040473,0.018846654891967775,0.00044982580853535336,0.01,130,"{'learning_rate': 0.01, 'n_estimators': 130}",0.8566037735849057,0.853426017874876,0.8897610584518167,0.8366176103766525,0.8476428036916936,0.8568102527959891,0.01782714898119749,95,2023-12-07--16-27-04,2023-12-07--16-32-24,56
