mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.002544212341308594,0.00016518601341062572,0.014087247848510741,0.025041922218109764,9.999999999999999e-05,squared_hinge,l1,"{'C': 9.999999999999999e-05, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.7411618669314797,0.7728897715988083,0.6671109794628752,0.6525816911948116,0.7222249937640309,0.7111938605904011,0.04517707283140741,40,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.07784485816955566,0.0252440094255371,0.0018531322479248048,0.00010754243647900361,9.999999999999999e-05,squared_hinge,l2,"{'C': 9.999999999999999e-05, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.893793445878848,0.8969712015888779,0.8984004739336493,0.8253429782988276,0.8157146420553754,0.8660445483511158,0.03731777696287694,35,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.006248569488525391,0.0009289931470704663,0.0015020370483398438,1.0028328706646066e-05,0.00023357214690901212,squared_hinge,l1,"{'C': 0.00023357214690901212, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.7887785501489573,0.828798411122145,0.8290876777251185,0.8243452232476927,0.864355200798204,0.8270730126084235,0.023962070535067617,37,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.1225830078125,0.10465682142270817,0.0017476081848144531,0.00010410382835625618,0.00023357214690901212,squared_hinge,l2,"{'C': 0.00023357214690901212, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.895382323733863,0.8971698113207548,0.8996840442338073,0.8444998752806185,0.8424544774257919,0.8758381063989672,0.02646582033632277,2,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.019649267196655273,0.013084806118827683,0.0017702102661132813,0.0005341903359829492,0.000545559478116852,squared_hinge,l1,"{'C': 0.000545559478116852, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.7725422045680238,0.8263157894736842,0.8129443127962086,0.7560488899975056,0.8407084060863059,0.8017119205843457,0.0322125055699709,38,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.13411455154418944,0.0764859124570141,0.0017448902130126954,3.766910937879419e-05,0.000545559478116852,squared_hinge,l2,"{'C': 0.000545559478116852, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8852532274081429,0.8975173783515393,0.8958333333333333,0.8594163132950859,0.831978049388875,0.8739996603553953,0.025039668155019134,7,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.042731094360351565,0.022737113758945278,0.0016668319702148437,0.0001421230248385336,0.0012742749857031334,squared_hinge,l1,"{'C': 0.0012742749857031334, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.7915094339622643,0.8289473684210527,0.8125493680884677,0.7584435021202296,0.8137690197056622,0.8010437384595352,0.024407408544914674,39,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.13652806282043456,0.07181544543982885,0.0020860671997070313,0.0005640062803573059,0.0012742749857031334,squared_hinge,l2,"{'C': 0.0012742749857031334, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8827706057596822,0.8916087388282026,0.8951915481832544,0.869094537291095,0.836318283861312,0.8749967427847091,0.021331107507888945,4,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.09087204933166504,0.02512757725448458,0.0018567085266113282,4.61830019330513e-05,0.002976351441631319,squared_hinge,l1,"{'C': 0.002976351441631319, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.8361469712015889,0.874875868917577,0.85451224328594,0.822100274382639,0.8109254178099277,0.8397121551195343,0.022834598758006402,36,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.18821268081665038,0.057000572390933674,0.0019963741302490234,0.0003803776546708641,0.002976351441631319,squared_hinge,l2,"{'C': 0.002976351441631319, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8797914597815294,0.8907149950347568,0.8956358609794628,0.8720878024444999,0.8086305811923172,0.8693721398865131,0.03146672691695512,31,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.1635110855102539,0.01371339358670459,0.001876497268676758,6.499809963653587e-05,0.0069519279617756054,squared_hinge,l1,"{'C': 0.0069519279617756054, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.8718967229394241,0.8968222442899703,0.8899091627172196,0.8569219256672486,0.8392117735096034,0.8709523658246932,0.021136797402242474,29,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.16257405281066895,0.08386781593390803,0.0020010948181152345,0.0003891352152912828,0.0069519279617756054,squared_hinge,l2,"{'C': 0.0069519279617756054, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8769612711022841,0.88987090367428,0.8948953396524486,0.8730855574956348,0.8398603142928411,0.8749346772434977,0.019283444540333053,5,2023-12-06--14-18-34,2023-12-06--14-19-06,49
0.18246560096740722,0.007651913266175117,0.0018086910247802734,6.779584791535376e-05,0.01623776739188721,squared_hinge,l1,"{'C': 0.01623776739188721, 'loss': 'squared_hinge', 'penalty': 'l1'}",0.8738331678252234,0.8928003972194637,0.8960801737756714,0.8662509353953605,0.8581192317286106,0.877416781188866,0.01479791659134158,1,2023-12-06--14-18-34,2023-12-06--14-19-06,49
