mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.05023889541625977,0.011412568926206372,0.012019062042236328,0.0002561287463238058,0.01,3,1e-05,poly,"{'C': 0.01, 'degree': 3, 'gamma': 1e-05, 'kernel': 'poly'}",0.7879344587884807,0.6950844091360477,0.8316054502369667,0.6720878024445,0.7480169618358694,0.7469458164883729,0.05855219479330247,43,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.04457798004150391,0.00020628184891976646,0.01172018051147461,9.928283255652737e-05,0.01,3,4.216965034285822e-05,poly,"{'C': 0.01, 'degree': 3, 'gamma': 4.216965034285822e-05, 'kernel': 'poly'}",0.7880834160873883,0.6951340615690168,0.8321484992101106,0.6725866799700673,0.7482165128460962,0.7472338339365358,0.05859477497917838,41,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.045566892623901366,0.0012609839560540886,0.012110233306884766,0.00037615446639994657,0.01,3,0.00017782794100389227,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.00017782794100389227, 'kernel': 'poly'}",0.7880834160873883,0.6950844091360476,0.8321484992101106,0.6728361187328511,0.7482165128460962,0.7472737912024987,0.05854012119887799,37,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.04466919898986817,0.0002186528664859699,0.011782550811767578,8.041411581653976e-05,0.01,3,0.0007498942093324559,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.0007498942093324559, 'kernel': 'poly'}",0.7560575968222444,0.6549652432969216,0.7759182464454977,0.7169867797455725,0.812621601396857,0.7433098935414186,0.05390288491467251,45,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.051073646545410155,0.0013303563550688458,0.011979961395263672,0.00019446104504391892,0.01,3,0.0031622776601683794,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.0031622776601683794, 'kernel': 'poly'}",0.7817279046673287,0.7216981132075472,0.810327804107425,0.7275130955350462,0.8523821401845847,0.7787298115403865,0.04961421938210272,24,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.05318593978881836,0.000618929451507853,0.012016773223876953,0.0003156168904934836,0.01,3,0.01333521432163324,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.01333521432163324, 'kernel': 'poly'}",0.780883813306852,0.7850546176762662,0.8374308846761453,0.729708156647543,0.829982539286605,0.7926120023186823,0.03887633606550945,16,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.054341793060302734,0.0009392845653029767,0.011661481857299805,0.00022162708880943242,0.01,3,0.05623413251903491,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.05623413251903491, 'kernel': 'poly'}",0.8022840119165839,0.8196623634558093,0.8419233807266983,0.8075829383886254,0.8634572212521825,0.8269819831479799,0.022775328359099095,4,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.0623723030090332,0.001895660359720868,0.010492515563964844,0.00036164461165456965,0.01,3,0.23713737056616552,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.23713737056616552, 'kernel': 'poly'}",0.7759185700099305,0.7797914597815292,0.8059340442338073,0.7969069593414817,0.7975555001247194,0.7912213066982936,0.011434408151061655,19,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.06326332092285156,0.0017821440237202801,0.009418296813964843,0.00023532096858215677,0.01,3,1.0,poly,"{'C': 0.01, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'}",0.7547169811320754,0.7547666335650447,0.7106042654028436,0.6657520578697931,0.7028186580194562,0.7177317191978426,0.033807039697727664,78,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.04480128288269043,0.00022536079799267966,0.011703252792358398,0.0001219578500598533,0.1778279410038923,3,1e-05,poly,"{'C': 0.1778279410038923, 'degree': 3, 'gamma': 1e-05, 'kernel': 'poly'}",0.7880834160873883,0.6950844091360476,0.8321484992101106,0.6725866799700673,0.7482165128460962,0.747223903449942,0.05860360741030265,42,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.04508523941040039,0.0010028004860994475,0.011921024322509766,0.0005453885859790831,0.1778279410038923,3,4.216965034285822e-05,poly,"{'C': 0.1778279410038923, 'degree': 3, 'gamma': 4.216965034285822e-05, 'kernel': 'poly'}",0.7880834160873883,0.6950844091360476,0.8321484992101106,0.6728361187328511,0.7482165128460962,0.7472737912024987,0.05854012119887799,37,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.04474539756774902,0.00018494714230008546,0.011757278442382812,0.0001558560761103574,0.1778279410038923,3,0.00017782794100389227,poly,"{'C': 0.1778279410038923, 'degree': 3, 'gamma': 0.00017782794100389227, 'kernel': 'poly'}",0.7805362462760674,0.6306355511420059,0.8143266192733016,0.682314791718633,0.7636318283861312,0.7342890073592278,0.0676035289779855,49,2023-12-07--18-21-06,2023-12-07--18-21-35,75
0.04663271903991699,0.0012093727975123955,0.011970758438110352,0.00022707524187089381,0.1778279410038923,3,0.0007498942093324559,poly,"{'C': 0.1778279410038923, 'degree': 3, 'gamma': 0.0007498942093324559, 'kernel': 'poly'}",0.7803376365441906,0.7090863952333665,0.7942831753554502,0.7242703916188575,0.8340733349962585,0.7684101867496247,0.04602381642086853,31,2023-12-07--18-21-06,2023-12-07--18-21-35,75
