mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.015486001968383789,0.0001292803063085513,0.0014310359954833984,0.00019239935580292304,3,3,40,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 40}",0.8145481628599802,0.8511668321747767,0.8680884676145341,0.8012721376901971,0.7997755051134946,0.8269702210905965,0.027678286736632824,867,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015383195877075196,3.7082298633243495e-05,0.0013129711151123047,5.322728819060111e-05,3,3,50,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 50}",0.8145481628599802,0.8511668321747767,0.8680884676145341,0.8012721376901971,0.7997755051134946,0.8269702210905965,0.027678286736632824,867,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015351295471191406,3.66479680674881e-05,0.001255941390991211,1.2386206593165092e-05,3,3,60,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 60}",0.8145481628599802,0.8511668321747767,0.8680884676145341,0.8012721376901971,0.7997755051134946,0.8269702210905965,0.027678286736632824,867,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.01536564826965332,4.4249974445122055e-05,0.0012745857238769531,3.033748775787334e-05,3,3,70,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 70}",0.8145481628599802,0.8511668321747767,0.8680884676145341,0.8012721376901971,0.7997755051134946,0.8269702210905965,0.027678286736632824,867,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015287971496582032,0.00011085695834880706,0.0012967586517333984,2.3436922262442228e-05,3,3,80,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 80}",0.8150198609731878,0.8511668321747767,0.8603129936808848,0.8012721376901971,0.79693190321776,0.8249407455473612,0.026008174695979755,896,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015122318267822265,0.00015280355173953207,0.0012972831726074218,4.236837013429058e-05,3,3,90,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 90}",0.8150198609731878,0.8511668321747767,0.8607573064770933,0.8012721376901971,0.7952856073833874,0.8247003489397283,0.026489238841959063,897,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015044069290161133,0.00017299015954548865,0.0012908935546875,9.135632507286662e-06,3,3,100,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 100}",0.8150198609731878,0.8511668321747767,0.8607573064770933,0.8012721376901971,0.7952856073833874,0.8247003489397283,0.026489238841959063,897,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015046310424804688,0.00017267401357379193,0.001287555694580078,2.331855591316649e-05,3,3,110,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 110}",0.8150198609731878,0.8511668321747767,0.8607573064770933,0.8012721376901971,0.7952856073833874,0.8247003489397283,0.026489238841959063,897,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015062713623046875,0.0001935353090381065,0.0012842655181884766,1.4824651757677493e-05,3,3,120,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 120}",0.8150198609731878,0.8511668321747767,0.8607573064770933,0.8012721376901971,0.7952856073833874,0.8247003489397283,0.026489238841959063,897,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.014867019653320313,0.0003142269101458308,0.0012918472290039062,9.20382184329589e-06,3,3,130,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 130}",0.8150198609731878,0.8511668321747767,0.8637934439178516,0.8012721376901971,0.7952856073833874,0.8253075764278801,0.027330280401551534,895,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015329647064208984,3.694561873034242e-05,0.0013130664825439452,5.0512024351031615e-05,3,4,40,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 40}",0.81266137040715,0.8511668321747767,0.8686808846761455,0.8012721376901971,0.8094537291095035,0.8286469908115546,0.026393786582751055,859,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015336275100708008,3.21067599168303e-05,0.0012974739074707031,3.9344989446181795e-05,3,4,50,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 50}",0.81266137040715,0.8511668321747767,0.8686808846761455,0.8012721376901971,0.8094537291095035,0.8286469908115546,0.026393786582751055,859,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015332365036010742,3.189773291777805e-05,0.0013010025024414063,1.5152171297937769e-05,3,4,60,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 60}",0.81266137040715,0.8511668321747767,0.8686808846761455,0.8012721376901971,0.8094537291095035,0.8286469908115546,0.026393786582751055,859,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015317106246948242,3.053642227591866e-05,0.0012485027313232423,3.544430382980419e-05,3,4,70,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 70}",0.81266137040715,0.8511668321747767,0.8686808846761455,0.8012721376901971,0.8094537291095035,0.8286469908115546,0.026393786582751055,859,2023-12-07--16-37-25,2023-12-07--16-39-47,60
0.015176010131835938,0.00010357199448618116,0.001283407211303711,2.720898173844739e-05,3,4,80,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 80}",0.8132820258192652,0.8511668321747767,0.8609054107424962,0.8012721376901971,0.806211025193315,0.82656748632401,0.024555913759215196,877,2023-12-07--16-37-25,2023-12-07--16-39-47,60
