mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.10838108062744141,0.0016848689098956087,0.003405189514160156,0.000426095041028571,0.01,5,"{'learning_rate': 0.01, 'n_estimators': 5}",0.8711519364448859,0.8279543197616683,0.8554749210110584,0.7996757296083811,0.8137939635819407,0.8336101740815869,0.026319834680300573,90,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.2130859375,0.0011902691853002444,0.004452657699584961,9.855779970939557e-05,0.01,10,"{'learning_rate': 0.01, 'n_estimators': 10}",0.8870655412115194,0.8617179741807348,0.9149634676145338,0.800673484659516,0.8679471189822899,0.8664735173297189,0.03776172061239937,88,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.31923327445983884,0.0012234100358469468,0.0058117866516113285,0.00021231827600019053,0.01,15,"{'learning_rate': 0.01, 'n_estimators': 15}",0.8864945382323733,0.8701837140019861,0.9049911137440757,0.8628585682215016,0.8682713893739087,0.878559864714769,0.015389043545668663,85,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.4256607532501221,0.003049931365568926,0.0068817138671875,5.332438195007956e-05,0.01,20,"{'learning_rate': 0.01, 'n_estimators': 20}",0.8869414101290964,0.8705064548162861,0.9125444312796207,0.8674731853330008,0.8726116238463457,0.8820154210808699,0.01666523422741279,82,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.5323298454284668,0.0018740364261930788,0.008295774459838867,0.00022731077902236852,0.01,25,"{'learning_rate': 0.01, 'n_estimators': 25}",0.8860973187686196,0.8764647467725919,0.912890007898894,0.8698179097031679,0.8732102768770268,0.88369605200406,0.015574975004495305,79,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.6379127979278565,0.0018674153092939213,0.0095001220703125,0.0002453379125388054,0.01,30,"{'learning_rate': 0.01, 'n_estimators': 30}",0.8833416087388282,0.8762164846077458,0.9126678515007898,0.8763532052881018,0.891045148416064,0.8879248597103061,0.013519964995723548,69,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.7443758010864258,0.002929200931249118,0.010663461685180665,0.00012895641092626725,0.01,35,"{'learning_rate': 0.01, 'n_estimators': 35}",0.8785749751737835,0.8787239324726911,0.9111868088467614,0.8780743327513096,0.8963083063108007,0.8885736711110693,0.013254478168601612,68,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.8494174480438232,0.002312019805133426,0.011980295181274414,0.00028113418697972787,0.01,40,"{'learning_rate': 0.01, 'n_estimators': 40}",0.8800148957298907,0.8804121151936444,0.917505924170616,0.8792217510601148,0.8950112247443254,0.8904331821797182,0.014755002517578431,62,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.9615549087524414,0.007412553801287807,0.013168144226074218,0.0002071555579859264,0.01,45,"{'learning_rate': 0.01, 'n_estimators': 45}",0.8806107249255213,0.8828947368421052,0.9175306082148501,0.8798204040907956,0.8969069593414816,0.8915526866829507,0.014393427112326261,56,2023-11-14--12-23-54,2023-11-14--12-27-59,38
0.10778613090515136,0.0009249031575805489,0.003191518783569336,6.1022004558300805e-05,0.016681005372000592,5,"{'learning_rate': 0.016681005372000592, 'n_estimators': 5}",0.8710029791459781,0.8613207547169812,0.9018068720379145,0.8003242703916188,0.818882514342729,0.8506674781270442,0.03657043888505128,89,2023-11-14--12-23-54,2023-11-14--12-27-59,38
