mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.0009487152099609375,0.0002554423109854287,0.0,0.0,0.0001,squared_hinge,l1,"{'C': 0.0001, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,,,,,21,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.2919905662536621,0.02023406097423552,0.020955276489257813,0.0376901295202378,0.0001,squared_hinge,l2,"{'C': 0.0001, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.896772591857001,0.8799900695134062,0.8996840442338072,0.8334746819655775,0.7809428785233226,0.8581728532186229,0.04530690539859253,4,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.0013527393341064454,0.0003364882554017955,0.0,0.0,0.00023357214690901214,squared_hinge,l1,"{'C': 0.00023357214690901214, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,,,,,21,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.2977952003479004,0.00907320531882644,0.001827573776245117,6.111047240342973e-05,0.00023357214690901214,squared_hinge,l2,"{'C': 0.00023357214690901214, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8922542204568024,0.8923038728897718,0.8897610584518167,0.8391618857570466,0.7842853579446245,0.8595532791000124,0.042744664626338046,3,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.001332855224609375,0.0002991708631283368,0.0,0.0,0.000545559478116852,squared_hinge,l1,"{'C': 0.000545559478116852, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,,,,,21,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.29669766426086425,0.007984802591528955,0.001989603042602539,0.00038325247827542956,0.000545559478116852,squared_hinge,l2,"{'C': 0.000545559478116852, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8887288977159881,0.8935948361469712,0.8859597156398105,0.8569219256672487,0.785183337490646,0.8620777425321329,0.04052972212168429,1,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.0013332366943359375,0.00031224915905831314,0.0,0.0,0.0012742749857031334,squared_hinge,l1,"{'C': 0.0012742749857031334, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,,,,,21,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.29684739112854003,0.003666628199718636,0.0017935276031494141,2.6465793954147735e-05,0.0012742749857031334,squared_hinge,l2,"{'C': 0.0012742749857031334, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.885898709036743,0.8876365441906654,0.8795418641390205,0.866550261910701,0.7834372661511599,0.8606129290856579,0.0392919480142873,2,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.0013330459594726562,0.0003116779763292251,0.0,0.0,0.002976351441631319,squared_hinge,l1,"{'C': 0.002976351441631319, 'loss': 'squared_hinge', 'penalty': 'l1'}",,,,,,,,21,2023-11-10--17-01-30,2023-11-10--17-01-59,24
0.289684534072876,0.0016656143971668811,0.0019809246063232423,0.0003897084112533777,0.002976351441631319,squared_hinge,l2,"{'C': 0.002976351441631319, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.8843098311817279,0.8812810327706058,0.8753949447077408,0.8710900473933649,0.7754552257420804,0.8575062163591041,0.041280910338057634,5,2023-11-10--17-01-30,2023-11-10--17-01-59,24
