mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.5850300312042236,0.0021555137131326393,0.014578580856323242,0.0004316400701420954,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.8680734856007944,0.8741559086395232,0.911754541864139,0.8502120229483663,0.8846595160888002,0.8777710950283246,0.02034178290461315,70,2023-11-10--11-57-51,2023-11-10--12-11-56,18
1.1704368114471435,0.008548535666079571,0.026639270782470702,0.0005568155208173952,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.8704319761668322,0.8885054617676265,0.9203939573459716,0.8683961087553005,0.8897231229733099,0.887490125401808,0.01867747986062178,66,2023-11-10--11-57-51,2023-11-10--12-11-56,18
1.754438829421997,0.013286863185819616,0.03926587104797363,0.0014268763210544626,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.8764647467725919,0.9039721946375373,0.9202952211690365,0.8927413320029932,0.8968321277126465,0.898061124458961,0.014321382343324049,47,2023-11-10--11-57-51,2023-11-10--12-11-56,18
2.3267499923706056,0.005911733677657336,0.05031776428222656,0.00042244561785957137,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.8836643495531281,0.9057348560079443,0.9255035545023697,0.8985532551758543,0.9030431529059616,0.9032998336290516,0.013469095600727883,34,2023-11-10--11-57-51,2023-11-10--12-11-56,18
2.9164154529571533,0.003793009808579853,0.06236844062805176,0.00027761586299384516,0.01,250,"{'learning_rate': 0.01, 'n_estimators': 250}",0.8874627606752731,0.9063803376365441,0.9269105450236966,0.9011224744325268,0.9069842853579446,0.9057720806251972,0.012692707581979382,27,2023-11-10--11-57-51,2023-11-10--12-11-56,18
3.501994800567627,0.0072733457983161585,0.0748629093170166,0.0010024141849972936,0.01,300,"{'learning_rate': 0.01, 'n_estimators': 300}",0.8882571996027806,0.9085650446871897,0.9276016982622434,0.9031179845347966,0.9087802444499875,0.9072644343073997,0.012617936358617202,25,2023-11-10--11-57-51,2023-11-10--12-11-56,18
4.091978311538696,0.010090446640718991,0.0859257698059082,0.000234598570662755,0.01,350,"{'learning_rate': 0.01, 'n_estimators': 350}",0.888157894736842,0.9086891757696127,0.9294776856240126,0.9051883262659018,0.9084310301820904,0.9079888225156919,0.01314203755742382,23,2023-11-10--11-57-51,2023-11-10--12-11-56,18
0.5807572364807129,0.0029088121012041945,0.014360618591308594,0.0006217352861224739,0.12,50,"{'learning_rate': 0.12, 'n_estimators': 50}",0.8893992055610725,0.9108242303872889,0.9356240126382307,0.9122474432526815,0.91134946370666,0.9118888711091866,0.014633488948740118,13,2023-11-10--11-57-51,2023-11-10--12-11-56,18
1.1663785457611084,0.0049529892427270916,0.02603917121887207,7.141922355733495e-05,0.12,100,"{'learning_rate': 0.12, 'n_estimators': 100}",0.8960774577954319,0.9209036742800397,0.9402646129541864,0.9186829633325018,0.9241207283611874,0.9200098873446695,0.014159616449106467,2,2023-11-10--11-57-51,2023-11-10--12-11-56,18
1.7465135097503661,0.0025802183648208424,0.038071393966674805,0.00013242258104722315,0.12,150,"{'learning_rate': 0.12, 'n_estimators': 150}",0.8990069513406157,0.922343594836147,0.9396228278041074,0.9139935145921676,0.9212771264654528,0.9192488030076982,0.013161636176083812,3,2023-11-10--11-57-51,2023-11-10--12-11-56,18
2.3376063823699953,0.006544544097169666,0.050171613693237305,0.0002298525253898871,0.12,200,"{'learning_rate': 0.12, 'n_estimators': 200}",0.8985600794438928,0.924180734856008,0.9333530805687205,0.9133948615614866,0.922823646794712,0.918462480644964,0.01179181499380676,5,2023-11-10--11-57-51,2023-11-10--12-11-56,18
2.9039418697357178,0.008717700921289605,0.061829137802124026,0.00014366648572166824,0.12,250,"{'learning_rate': 0.12, 'n_estimators': 250}",0.898609731876862,0.9260178748758688,0.9322176145339652,0.909403841356947,0.9237715140932901,0.9180041153473866,0.012244293463600509,7,2023-11-10--11-57-51,2023-11-10--12-11-56,18
3.4781925678253174,0.004249407246134361,0.07377986907958985,0.0003057311785784879,0.12,300,"{'learning_rate': 0.12, 'n_estimators': 300}",0.8982621648460773,0.925372393247269,0.9317239336492892,0.9100523821401846,0.9240708406086305,0.9178963428982903,0.012101625386147724,8,2023-11-10--11-57-51,2023-11-10--12-11-56,18
4.06922755241394,0.025932439938069343,0.08772258758544922,0.003067848786719531,0.12,350,"{'learning_rate': 0.12, 'n_estimators': 350}",0.8997020854021847,0.9261171797418074,0.9327112954186414,0.9086555250685956,0.9240209528560739,0.9182414076974605,0.01216884707062288,6,2023-11-10--11-57-51,2023-11-10--12-11-56,18
0.5800454139709472,0.0008720757108043833,0.014036417007446289,7.375393099061768e-05,0.23,50,"{'learning_rate': 0.23, 'n_estimators': 50}",0.89493545183714,0.9251737835153923,0.9381171011058451,0.9147418308805189,0.9221252182589174,0.9190186771195628,0.014216742841527673,4,2023-11-10--11-57-51,2023-11-10--12-11-56,18
1.159601879119873,0.002605512206582911,0.02601470947265625,6.405586245406428e-05,0.23,100,"{'learning_rate': 0.23, 'n_estimators': 100}",0.8964746772591856,0.9253723932472692,0.9283669036334913,0.9094537291095036,0.9167872287353455,0.915290986396959,0.01151503520621199,9,2023-11-10--11-57-51,2023-11-10--12-11-56,18
