mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.02936248779296875,0.0013843926125729688,0.002822256088256836,0.00023899260084126605,2,2,10,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",0.8863455809334656,0.8399950347567031,0.9038803317535544,0.8784734347717635,0.878298827637815,0.8773986419706603,0.020891735002044453,585,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.06936659812927246,0.003043850289841194,0.004251718521118164,0.00041517726967219026,2,2,10,25,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 25}",0.8788480635551141,0.8784011916583914,0.9256763428120064,0.8604390122224994,0.8864055874282863,0.8859540395352596,0.021617688579318377,548,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.13561863899230958,0.0009976794635930186,0.006076526641845703,0.0001378689031401843,2,2,10,50,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.880312810327706,0.8699106256206555,0.90676836492891,0.8627089049638312,0.8981541531554004,0.8835709717993007,0.016632707133942715,565,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.20151171684265137,0.0035502649766382464,0.00807952880859375,0.0003567769736341186,2,2,10,75,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 75}",0.8836395233366434,0.8848560079443892,0.9221958925750394,0.8717136443003243,0.8982788725367923,0.8921367881386377,0.017225521959378595,428,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.27042436599731445,0.00355761998598851,0.010530662536621094,0.000637770249910206,2,2,10,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8853277060575969,0.8813306852035749,0.9277744865718799,0.8668495884260414,0.9010725866799701,0.8924710105878126,0.020745666779819736,422,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.4072422027587891,0.002902300575641304,0.014829492568969727,0.0006137252603009608,2,2,10,150,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150}",0.8800893743793445,0.87279046673287,0.9233313586097945,0.8824644549763033,0.8944375155899227,0.8906226340576471,0.01777585789663176,450,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.02979722023010254,0.0007362629862232368,0.0026756763458251954,6.419591914673407e-05,2,2,50,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50, 'n_estimators': 10}",0.8696871896722939,0.8689424031777557,0.9196287519747236,0.8310301820902968,0.8858568221501621,0.8750290698130463,0.028663067472282158,590,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.07099776268005371,0.0029597905448820066,0.0039919853210449215,0.00010255575665038603,2,2,50,25,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50, 'n_estimators': 25}",0.8857745779543198,0.864995034756703,0.9226895734597156,0.8557994512347218,0.8957345971563981,0.8849986469123717,0.023618662824628524,555,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.15744342803955078,0.0387066944821687,0.006143617630004883,0.00017753150101849016,2,2,50,50,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50, 'n_estimators': 50}",0.8798162859980141,0.8736345580933466,0.9140007898894155,0.8720878024444998,0.900673484659516,0.8880425842169585,0.016511731273829825,506,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.20786471366882325,0.00433715449874004,0.008157157897949218,0.000393657668846696,2,2,50,75,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50, 'n_estimators': 75}",0.8773088381330686,0.8836643495531282,0.9137045813586098,0.864155649787977,0.8949363931154902,0.8867539623896548,0.016749494604542694,535,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.2766623020172119,0.004678757246002292,0.010125970840454102,0.0002705612273109081,2,2,50,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50, 'n_estimators': 100}",0.8746276067527308,0.8842601787487587,0.9213319510268563,0.8615115989024694,0.8959840359191819,0.8875430742699996,0.020337956829811373,516,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.4102174282073975,0.0021561665127671943,0.014898252487182618,0.001130340189349106,2,2,50,150,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50, 'n_estimators': 150}",0.8758689175769613,0.8756206554121152,0.923923775671406,0.8741830880518833,0.8988775255674731,0.8896947924559677,0.01942058187891739,468,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.029033374786376954,0.0006857243856467927,0.00271754264831543,9.763680670568142e-05,2,2,100,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 100, 'n_estimators': 10}",0.8742055610724925,0.8628351539225423,0.8920566745655608,0.8556497879770516,0.8875530057370915,0.8744600366549478,0.013929074749111914,592,2023-11-03--15-34-41,2023-11-03--15-50-40,16
0.06935539245605468,0.001152299873453231,0.003979396820068359,0.0001358990418276055,2,2,100,25,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 100, 'n_estimators': 25}",0.881901688182721,0.8889771598808341,0.9308106240126383,0.8495634821651286,0.885981541531554,0.8874468991545751,0.025887465120935035,520,2023-11-03--15-34-41,2023-11-03--15-50-40,16
