feature,perm_imp,scoring
prom_CpG_o2e_ratio,0.0010693018929425868,roc_auc
gnomad_oe_mis,0.0010259733032286222,roc_auc
gtex_colon,0.0009973525834175768,roc_auc
gtex_small_intestine,0.0009882098534777616,roc_auc
gtex_breast,0.0009468688137507453,roc_auc
gtex_skeletal_muscle,0.0009011551640524917,roc_auc
gtex_salivary_gland,0.0008765095442150761,roc_auc
CL_1001431_me,0.0008637892242990164,roc_auc
stromal_nTPM,0.0008558390243515567,roc_auc
ureteric_bud_perc_expr,0.0008530564543699048,roc_auc
gnomad_p,0.000839143604461734,roc_auc
gtex_cervix,0.0008148954946217701,roc_auc
CL_1001318_me,0.0007858772648132283,roc_auc
gtex_fallopian_tube,0.0006300533458416746,roc_auc
gnomad_lof_z,0.0006244882058784373,roc_auc
CL_1001107_me,0.0006205131059046521,roc_auc
CL_1001106_me,0.0005358434764634934,roc_auc
CL_1001111_me,0.000507222756652359,roc_auc
gnomad_obs_mis_pphen,0.0005000675766996254,roc_auc
stromal_perc_expr,0.000498080026712766,roc_auc
gtex_testis,0.0004364659771193935,roc_auc
gtex_pancreas,0.0004344784271324897,roc_auc
CL_1000849_me,0.0004312983471534526,roc_auc
gnomad_num_coding_exons,0.00041778300724277796,roc_auc
gnomad_gene_length,0.0003633241376021168,roc_auc
CL_1000452_me,0.00027467940818715064,roc_auc
gtex_esophagus,0.00027467940818710624,roc_auc
gtex_vagina,0.00023135081847314165,roc_auc
gtex_skin,7.592440949899526e-05,roc_auc
gnomad_mu_lof,5.803645961701687e-05,roc_auc
gnomad_obs_mis,-5.883147961158741e-05,roc_auc
gtex_prostate,-0.00012958825914466399,roc_auc
gnomad_possible_lof,-0.00021266784859632625,roc_auc
gnomad_exp_lof,-0.00022061804854378586,roc_auc
gnomad_max_af,-0.00023969852841794205,roc_auc
gnomad_exp_mis_pphen,-0.0002933623780637218,roc_auc
gnomad_mu_syn,-0.00035616895764922774,roc_auc
gnomad_possible_mis_pphen,-0.0004440186670694235,roc_auc
gnomad_classic_caf,-0.0005052352066654331,roc_auc
gnomad_obs_syn,-0.0005111978566260556,roc_auc
gnomad_possible_mis,-0.0005270982565210635,roc_auc
gnomad_cds_length,-0.0005422036364214122,roc_auc
gnomad_possible_syn,-0.0005549239563374941,roc_auc
gnomad_exp_syn,-0.0006260782458678449,roc_auc
gnomad_mu_mis,-0.0007012076353719587,roc_auc
gnomad_exp_mis,-0.0007198906052486631,roc_auc
