feature,perm_imp,scoring
max_mgi_kid,0.014957506181280578,roc_auc
no_paralogues_75,0.01177543865228221,roc_auc
no_paralogues_95,0.008431187044354239,roc_auc
no_paralogues_85,0.008429199494367356,roc_auc
avg_phasCons_exons,0.008389846004627088,roc_auc
gnomad_pLI,0.008177973176025444,roc_auc
gtex_adrenal_gland,0.006230969208875603,roc_auc
CL_1000849_pc,0.00544071933409127,roc_auc
fetal_kidney_tau,0.004979607737134661,roc_auc
metanephric_nTPM,0.00426647480184128,roc_auc
CL_0000653_pc,0.004170674892473603,roc_auc
CL_1000692_me,0.004132911442722853,roc_auc
CL_1001106_pc,0.004070899883132117,roc_auc
gtex_liver,0.0036145584061440415,roc_auc
gnomad_syn_z,0.0036042231462122265,roc_auc
CL_1001107_pc,0.0035724223464220772,roc_auc
gtex_tau,0.0034762249270569477,roc_auc
gnomad_obs_lof,0.0034726473370805923,roc_auc
gnomad_oe_lof_upper_rank,0.003458336977175058,roc_auc
CL_1001432_me,0.0033927478276079004,roc_auc
gnomad_n_sites,0.0030934227995835562,roc_auc
CL_0000115_pc,0.0030576468998195993,roc_auc
vascular_endothelial_nTPM,0.0029992129302052863,roc_auc
gtex_pituitary_gland,0.002977747390346974,roc_auc
CL_1000768_pc,0.0029586669104728846,roc_auc
CL_1000452_pc,0.0028724072410421407,roc_auc
gtex_brain_median,0.002862867001105096,roc_auc
gnomad_oe_lof,0.0027738247616928557,roc_auc
CL_0000653_me,0.0027340737619552247,roc_auc
CL_1001431_pc,0.002588187592918034,roc_auc
gtex_retina,0.0023985753241694717,roc_auc
ureteric_bud_nTPM,0.002333781194597062,roc_auc
CL_0002306_pc,0.0022669995150378596,roc_auc
gnomad_oe_mis_pphen,0.002246726505171637,roc_auc
mesangial_nTPM,0.002189485065549457,roc_auc
gnomad_oe_syn,0.002149336555814485,roc_auc
metanephric_perc_expr,0.0021219083659954397,roc_auc
gnomad_pNull,0.002121510855998143,roc_auc
CL_1000692_pc,0.0019962952068245166,roc_auc
gtex_kidney,0.0019573392270816115,roc_auc
gnomad_mis_z,0.001891750077514498,roc_auc
gtex_thyroid_gland,0.0018651169076901787,roc_auc
gtex_ovary,0.001831328557913281,roc_auc
CL_1001432_pc,0.001816223178013021,roc_auc
vascular_endothelial_perc_expr,0.0018050928980864133,roc_auc
gtex_adipose_tissue,0.001784819888220146,roc_auc
avg_phasCons_promoter,0.001766534428340938,roc_auc
CL_1001111_pc,0.0017410937885088407,roc_auc
mesangial_perc_expr,0.0016488714691175188,roc_auc
gtex_heart_muscle,0.0016099154893745916,roc_auc
avg_exon_CpG_o2e_ratio,0.00159918271944548,roc_auc
gnomad_pRec,0.001588847459513687,roc_auc
gnomad_exp_hom_lof,0.001492252530151239,roc_auc
gtex_stomach,0.001487084900185276,roc_auc
gtex_spinal_cord,0.0014362036205211037,roc_auc
CL_1001318_pc,0.00139565760078868,roc_auc
CL_1000768_me,0.0013904899708228724,roc_auc
gtex_lung,0.0013674343909749532,roc_auc
gtex_spleen,0.0013324535112058111,roc_auc
CL_0000115_me,0.0011929275021267615,roc_auc
gtex_urinary_bladder,0.0011507914424047972,roc_auc
CL_0002306_me,0.0011412512024677746,roc_auc
gtex_endometrium,0.0011333010025202928,roc_auc
