mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.3365907669067383,0.011354324923340701,0.0046428203582763675,0.00040339126070046546,0.01,0.1,3,50,0.32,0.0001,0.8,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.0001, 'subsample': 0.8}",0.8998510427010923,0.9251737835153923,0.9495458135860979,0.9136941880768271,0.9159391369418808,0.9208407929642579,0.016482856702072588,4583,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.33952832221984863,0.0029666297354823817,0.00459141731262207,0.0007773694335943471,0.01,0.1,3,50,0.32,0.0001,0.85,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.0001, 'subsample': 0.85}",0.9016881827209532,0.9271102284011916,0.9465343601895734,0.9149912696433026,0.921426789723123,0.9223501661356288,0.014761144772836262,3320,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.34886345863342283,0.003250296082533932,0.004569387435913086,0.000566355063964764,0.01,0.1,3,50,0.32,0.0001,0.9,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.0001, 'subsample': 0.9}",0.906578947368421,0.9233366434955312,0.9470280410742495,0.9191818408580693,0.9243202793714144,0.9240891504335371,0.013095810702322432,1550,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.3296156406402588,0.0004959661975335685,0.004234123229980469,0.00017495326236026328,0.01,0.1,3,50,0.32,0.00046415888336127773,0.8,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.00046415888336127773, 'subsample': 0.8}",0.8998510427010923,0.9251737835153923,0.9495458135860979,0.9136941880768271,0.9159890246944375,0.9208507705147694,0.01647990140219325,4575,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.3387709140777588,0.0011540598005268775,0.004635429382324219,0.0006576793786275621,0.01,0.1,3,50,0.32,0.00046415888336127773,0.85,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.00046415888336127773, 'subsample': 0.85}",0.9016881827209532,0.9271102284011916,0.9465343601895734,0.9149912696433026,0.921426789723123,0.9223501661356288,0.014761144772836262,3320,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.3493964195251465,0.0028132162285439727,0.004606008529663086,4.646826426263135e-05,0.01,0.1,3,50,0.32,0.00046415888336127773,0.9,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.00046415888336127773, 'subsample': 0.9}",0.906578947368421,0.9233366434955312,0.9470280410742495,0.9191818408580693,0.9243202793714144,0.9240891504335371,0.013095810702322432,1550,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.33426127433776853,0.002462919944539614,0.004852581024169922,0.00041787113361887497,0.01,0.1,3,50,0.32,0.002154434690031882,0.8,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.002154434690031882, 'subsample': 0.8}",0.8998510427010923,0.9251737835153923,0.9494964454976302,0.9139935145921676,0.9159890246944375,0.920900762200144,0.016437139290292068,4555,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.3411670207977295,0.0036323763816008695,0.004656314849853516,0.0005368733048144142,0.01,0.1,3,50,0.32,0.002154434690031882,0.85,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.002154434690031882, 'subsample': 0.85}",0.9016881827209532,0.9271102284011916,0.9465343601895734,0.9149912696433026,0.9209777999501123,0.9222603681810266,0.014767853070828407,3427,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.3470348834991455,0.0018010124845854844,0.0041789054870605465,0.00015487488853624943,0.01,0.1,3,50,0.32,0.002154434690031882,0.9,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.002154434690031882, 'subsample': 0.9}",0.906578947368421,0.9233366434955312,0.9470280410742495,0.9191818408580693,0.9243701671239709,0.9240991279840485,0.013096001999023372,1548,2024-01-09--14-26-37,2024-01-09--20-57-45,90
0.33098468780517576,0.0017879860723292785,0.004562950134277344,0.0007061416513753521,0.01,0.1,3,50,0.32,0.01,0.8,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.32, 'reg_lambda': 0.01, 'subsample': 0.8}",0.8999006951340616,0.9251737835153923,0.9497432859399685,0.915889249189324,0.9159890246944375,0.9213392076946366,0.016367235315393015,4230,2024-01-09--14-26-37,2024-01-09--20-57-45,90
